Id,Name,Number,StreetAddress,City,Province,PostalCode,Latitude,Longitude,Phone,Website,Hours,SupplierType,Email,MondayOpen,MondayClose,TuesdayOpen,TuesdayClose,WednesdayOpen,WednesdayClose,ThursdayOpen,ThursdayClose,FridayOpen,FridayClose,SaturdayOpen,SaturdayClose,SundayOpen,SundayClose,Description,Facebook,Twitter,Instagram,PaymentMethods,LicenseeSales,SpecialEventsOrdering,OnSiteSpecialEvents,OnSiteKitchen,KegSales,SommelierOnStaff,OnlineOrdering,SpecialOrdering,DeliveryService,GrowlerFill,Theme,HeroTitle,HeroDescription,DisplayInventory,ALSAMember,AHLAMember,EstablishmentType
49932,HEARTLAND BOWL                          ,76768300,4601 59 STREET                          ,STETTLER                                          ,AB,T0C 2L1   ,,,(403) 742-3149  ,,,Community Centre,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Community Centre
49933,ECONO LIQUOR STORE                      ,76768600,405 11 AVENUE                           ,NISKU                                             ,AB,T9E 7N2   ,53.30949,-113.533715,(780) 955-8644  ,,,Liquor Store,anita.r.narula@gmail.com                ,10:00am,12:00am,10:00am,12:00am,10:00am,12:00am,10:00am,12:00am,10:00am,12:00am,10:00am,12:00am,10:00am,10pm,,,,,,True,True,True,True,True,True,True,True,True,True,,,,,False,False,Liquor Store
49934,MUG SHOTZ SPORTS BAR & GRILL            ,76768700,12-2808 OGDEN ROAD SE                   ,CALGARY                                           ,AB,T2G 4R7   ,51.029129,-114.031069,(403) 264-4441  ,,,Restaurant,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Restaurant
49936,ZYN AT BANKERS HALL                     ,76770400,145-315 8 AVENUE SW                     ,CALGARY                                           ,AB,T2P 4K1   ,51.045257,-114.069167,(403) 263-3519  ,Visit zyn.ca ... AmaZYN Prices ... AmaZYN Products ... Save Time ... Shop Online,,Liquor Store,tara@zyn.ca                             ,10:00am,6:00pm,10:00am,6:00pm,10:00am,6:00pm,10:00am,6:00pm,10:00am,6:00pm,,,,,,,,,,False,False,False,False,False,False,False,False,True,False,,,,,False,False,Liquor Store
49937,COSTCO CANADA LIQUOR                    ,76771100,2352 BOX SPRINGS BOULEVARD NW           ,MEDICINE HAT                                      ,AB,T1C 0C8   ,50.06451,-110.74264,(403) 580-2162  ,,,Liquor Store,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Liquor Store
49938,THORHILD LIQUOR MART                    ,76771800,802 2 STREET                            ,THORHILD                                          ,AB,T0A 3J0   ,54.161146,-113.126289,(780) 777-1666  ,,,Liquor Store,d7771666@gmail.com                      ,9:00am,10:00pm,9:00am,10:00pm,9:00am,10:00pm,9:00am,10:00pm,9:00am,11:00pm,9:00am,11:00pm,9.00am,9:00pm,,,,,,False,True,False,False,False,False,False,False,False,False,,,,,False,False,Liquor Store
49939,FAIRMONT PALLISER                       ,76772500,133 9 AVENUE SW                         ,CALGARY                                           ,AB,T2P 2M3   ,,,(403) 262-1234  ,,,Hotel,robert.gallagher@fairmont.com           ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Hotel
49941,LIQUOR LODGE                            ,76773200,405A PATRICIA STREET                    ,JASPER                                            ,AB,T0E 1E0   ,52.878844,-118.080294,(780) 852-2337  ,,,Liquor Store,marc@liquorlodge.ca                     ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,True,False,Liquor Store
49942,OPUS RESTAURANT & BAR                   ,76775400,BELMEAD SHOPPING CENTRE                 ,EDMONTON                                          ,AB,T5T 2K6   ,,,(780) 885-2296  ,,,Restaurant,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Restaurant
49943,VIKING CARENA COMPLEX                   ,76775800,5120 45 STREET                          ,VIKING                                            ,AB,T0B 4N0   ,,,(780) 336-3466  ,,,Community Centre,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Community Centre
49944,CHAUVIN HOTEL                           ,76777200,201 MAIN STREET                         ,CHAUVIN                                           ,AB,T0B 0V0   ,,,(780) 858-2388  ,,,Hotel,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Hotel
49945,WORSLEY GATEWAY INN                     ,76777800,335 SECONDARY HIGHWAY 726               ,WORSLEY                                           ,AB,T0H 3W0   ,,,(780) 685-2080  ,www.worsleygateway.ca,,Hotel,bkobbert@telus.net                      ,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,,,,,,False,True,True,True,True,False,False,False,False,False,,,,,False,False,Hotel
49946,GUS' STEAK & PIZZA                      ,76779100,1020 SECOND STREET WEST                 ,BROOKS                                            ,AB,T1R 0N8   ,,,(403) 362-3612  ,,,Restaurant,Blanchardrylees@gmail.com               ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Restaurant
49947,FIVE STAR BINGO PUB                     ,76780300,4980 25 STREET SE                       ,CALGARY                                           ,AB,T2B 3M3   ,,,(403) 248-8334  ,,,Restaurant,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Restaurant
49948,O2 JOE'S TAPHOUSE & GRILL               ,76780500,13509 127 STREET NW                     ,EDMONTON                                          ,AB,T5L 1B8   ,,,(780) 451-7799  ,,,Restaurant,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Restaurant
49949,CORONA HOTEL                            ,76780900,602 1 STREET                            ,THORHILD                                          ,AB,T0A 3J0   ,,,(780) 398-3534  ,,,Hotel,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Hotel
49950,WAINWRIGHT BOWLING CENTRE               ,76781000,1018 - 6 AVENUE                         ,WAINWRIGHT                                        ,AB,T9W 1H3   ,,,(780) 842-5759  ,,,Restaurant,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Restaurant
49951,SKYWAY LIQUOR STORE CONCOURSE C         ,76781400,DEPARTURES                              ,CALGARY                                           ,AB,T2E 6W5   ,51.131383,-114.010982,(403) 532-1848  ,,,Liquor Store,cloud9a@wciltd.ca                       ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Liquor Store
49952,BLUE ON WHYTE LIQUOR                    ,76781600,10058 82 AVENUE NW                      ,EDMONTON                                          ,AB,T6E 1Z3   ,53.518452,-113.490542,(780) 757-1289  ,,,Liquor Store,blueonwhyte@hotmail.com                 ,10:00,2,10:00am,2,10,2,10,2,10,2,10,2,10,2,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,False,False,Liquor Store
49953,VINESTONE WINE CO.                      ,76785100,608 2 STREET W                          ,COCHRANE                                          ,AB,T4C 1Z7   ,51.193014,-114.472196,(403) 981-9463  ,vinestonewine.com,,Liquor Store,adam@vinestonewine.com                  ,Closed,,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,6:00pm,12:00pm,5:00pm,"Vinestone Wine Co. is your locally owned peddler of all things delicious. We love wine, craft beer, and spirits, and work hard to find the best bottles made by families, not factories.

It pops our cork to introduce people of all interest levels, to unique and interesting wines, beer, and spirits, either through our tasting bar or through our tasting events.

Handcrafted wines, naturally made when possible, is the name of the game. Our well-educated staff is sure to find something new and unique to suit your tastes.

We believe that wine and the process of shopping for it should be comfortable and accessible.

Our shop provides a unique selection of constantly rotating selections, expert knowledge, and impassioned customer service.",,,,,True,True,True,False,True,True,False,False,False,True,,,,,False,False,Liquor Store
49955,SKY LOUNGE                              ,76789600,4908 50 STREET                          ,ST PAUL                                           ,AB,T0A 3A0   ,,,(780) 720-0789  ,,,Restaurant,edmfurn@hotmail.com                     ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Restaurant
49956,RED BARON INN                           ,76791800,5011 50 STREET                          ,BARRHEAD                                          ,AB,T7N 1A4   ,,,(780) 674-2336  ,,,Hotel,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Hotel
49957,ESPLANADE ARTS AND HERITAGE CENTRE      ,76792800,401 1 STREET SE                         ,MEDICINE HAT                                      ,AB,T1A 8W2   ,,,(403) 502-8580  ,,,Community Centre,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Community Centre
49958,SOBEYS LIQUOR (BEAUMONT)                ,76794400,6100 50 STREET                          ,BEAUMONT                                          ,AB,T4X 1T8   ,53.36227,-113.415864,(780) 929-0164  ,,,Liquor Store,swcb3067beaumont@sobeys.com             ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,True,False,Liquor Store
49960,EAGLE RIVER CASINO & TRAVEL PLAZA       ,76795900,TOWNSHIP ROAD 602A & HIGHWAY 32 NORTH   ,WHITECOURT                                        ,AB,T7S 1N3   ,,,(780) 779-2727  ,,,Restaurant,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Restaurant
49961,ACE LIQUOR DISCOUNTER AT EAUX CLAIRES   ,76796200,9615 160 AVENUE NW                      ,EDMONTON                                          ,AB,T5Z 3H3   ,53.620974,-113.489851,(780) 475-2190  ,,,Liquor Store,1010580store@liquordepot.ca             ,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00Pm,10:00am,10:00pm,,,,,,False,True,False,False,True,False,True,True,True,False,,,,,True,False,Liquor Store
49962,BAY TREE GENERAL STORE                  ,76796500,BAY TREE GENERAL STORE                  ,BAY TREE                                          ,AB,T0H 0A0   ,,,(780) 353-2485  ,,,General Store,breedave@hotmail.com                    ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,General Store
49963,PARADISE LANES                          ,76797600,3411 17 AVENUE SE                       ,CALGARY                                           ,AB,T2A 0R3   ,,,(403) 272-4570  ,,,Community Centre,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Community Centre
49964,LIQUOR BAY                              ,76797800,9032 75 STREET NW                       ,EDMONTON                                          ,AB,T6C 2H4   ,53.525645,-113.443006,(780) 440-0299  ,,,Liquor Store,b-verma@hotmail.com                     ,10:00am,12:00am,10:00am,12:00am,10:00am,12:00am,10:00am,12:00am,10:00am,1:00am,10:00am,1:00am,10:00am,11:00pm,,,,,,True,False,False,False,False,False,False,False,False,False,,,,,False,False,Liquor Store
49965,REAL CANADIAN LIQUOR STORE              ,76799800,5031 44 STREET                          ,LLOYDMINSTER                                      ,AB,T9V 0A6   ,53.276055,-110.008438,(780) 871-8004  ,,,Liquor Store,mon01671@loblaw.ca                      ,10.00,11:00pm,10.00,11.00pm,10.00,11.00pm,10.00,11.00pm,10.00,11.00pm,10.00,11.00pm,10.00,08.00pm,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,True,False,Liquor Store
49966,R & M LIQUOR STORE                      ,76802800,5040 49 AVENUE                          ,REDWATER                                          ,AB,T0A 2W0   ,53.94993,-113.111874,(780) 942-3622  ,,,Liquor Store,Rmliquor@yahoo.ca                       ,,,,,,,,,,,,,,,,,,,"Debit, MasterCard, Visa",False,False,False,False,False,False,False,False,False,False,,,,,False,False,Liquor Store
49967,COSTLESS LIQUOR STORE                   ,76803100,A-5023 47 AVENUE                        ,TWO HILLS                                         ,AB,T0B 4K0   ,53.709429,-111.746235,(780) 657-0022  ,,,Liquor Store,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Liquor Store
49968,LIQUOR DEPOT AT EASTVIEW                ,76804400,3809 40 AVENUE                          ,RED DEER                                          ,AB,T4N 2W4   ,52.258209,-113.789716,(403) 340-8988  ,,,Liquor Store,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,True,False,Liquor Store
49969,WINDSOR HOTEL                           ,76805300,4911 51 AVENUE                          ,CAMROSE                                           ,AB,T4V 0V5   ,,,(780) 672-2493  ,,,Hotel,medagedaraQyahoo.ca                     ,12:00pm,9:00pm,12:00pm,9.00pm,12.00pm,1:00am,12.00pm,9.00pm,10:00am,2:00am,10:00am,2:00am,Closed,,,,,,,True,False,False,False,False,False,False,False,False,False,,,,,False,False,Hotel
49970,STONEY NAKODA RESORT                    ,76806500,888 NAKODA WAY                          ,MORLEY                                            ,AB,T0L 1N0   ,,,(403) 881-2830  ,,,Restaurant,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Restaurant
49971,LAKEVIEW LIQUOR STORE                   ,76807100,2-4802 49 STREET                        ,HARDISTY                                          ,AB,T0B 1V0   ,,,(780) 888-2488  ,,,Liquor Store,lakeviewliquor@hotmail.ca               ,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,10:00pm,10:00am,10:00pm,12:00pm,8:00pm,,,,,"cash, debiy, mastercard & visa",True,True,False,False,True,False,False,True,True,False,,,,,True,False,Liquor Store
49972,WILD ROSE LIQUOR                        ,76807700,10680 156 STREET NW                     ,EDMONTON                                          ,AB,T5P 2R9   ,53.55092,-113.590877,(780) 444-3231  ,,,Liquor Store,wildroseliquor@yahoo.com                ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Liquor Store
49973,MOUNTAIN PIZZA & STEAK HOUSE            ,76808800,3823 CAXTON STREET                      ,WHITECOURT                                        ,AB,T7S 1P3   ,,,(780) 778-3600  ,mountainpizza.ca,,Restaurant,joanne_belke@hotmail.com                ,11:00am,9:00pm,11:00am,9:00pm,11:00am,9:00pm,11:00am,9:00pm,11:00am,9:00pm,4:00pm,9:00pm,4:00pm,9:00pm,,Mountain Piiza & Steakhouse Whitecourt,,,,False,False,False,False,False,False,False,False,False,False,,,,,False,False,Restaurant
49974,SPINS                                   ,76810200,WESTMOUNT SHOPPING CENTRE               ,EDMONTON                                          ,AB,T5M 3L7   ,,,(780) 452-2800  ,,,Restaurant,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Restaurant
49975,CALGARY CO-OP LIQUOR STORE - KINGSLAND  ,76810600,6907 MACLEOD TRAIL SW                   ,CALGARY                                           ,AB,T2H 0L6   ,50.991591,-114.072861,(403) 252-2447  ,,,Liquor Store,                                        ,10:00AM,10:00PM,10:00AM,10:00PM,10:00AM,10:00PM,10:00AM,10:00PM,10:00AM,10:00PM,10:00AM,10:00PM,10:00AM,10:00pm,,,,,"AMEX, Debit, MasterCard, Visa",True,True,False,False,True,False,True,False,False,False,,,,,True,False,Liquor Store
49976,OLYMPIA LIQUOR STORE                    ,76812100,1915A CENTRE STREET NW                  ,CALGARY                                           ,AB,T2E 2S7   ,51.069367,-114.063078,(403) 452-7300  ,www.olympialiquor.ca,,Liquor Store,ravi10665@yahoo.ca                      ,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,10:00pm,,,,,,True,True,False,False,True,False,False,False,False,False,,,,,True,False,Liquor Store
49977,LIQUOR WAY                              ,76813700,9444 149 STREET NW                      ,EDMONTON                                          ,AB,T5R 1C6   ,53.53125,-113.578665,(587) 523-5929  ,,,Liquor Store,parhar72@telus.net                      ,11:00AM,10:00PM,11:00AM,10:00PM,10:00AM,10:00PM,10:00AM,11:00PM,10:00AM,,10:00AM,,10:00AM,10:00PM,,,,,"AMEX, Debit, MasterCard, Visa",False,False,False,False,False,False,False,False,False,,,,,,False,False,Liquor Store
49978,HIGH NOTE BAR AND GRILL                 ,76814100,12315 118 AVENUE NW                     ,EDMONTON                                          ,AB,T5L 2K2   ,,,(780) 238-7399  ,,,Restaurant,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Restaurant
49979,K-J BOWL                                ,76814300,12143 54 STREET NW                      ,EDMONTON                                          ,AB,T5W 3N4   ,,,(780) 477-3132  ,,,Community Centre,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Community Centre
49980,LAKEWOOD GOLF RESORT                    ,76814800,1237 TOWNSHIPROAD 391                   ,RED DEER COUNTY                                   ,AB,T4S 1S6   ,,,(403) 887-2477  ,,,Community Centre,lakewoodoffice@platinum.ca              ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,False,False,Community Centre
49981,SONNY'S COLD BEER & LIQUOR STORE        ,76815600,5411 50 AVENUE                          ,BONNYVILLE                                        ,AB,T9N 1Z7   ,54.268265,-110.752811,(780) 826-2230  ,,,Liquor Store,sonnyscoldbeer@hotmail.com              ,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,9:00pm,,,,,,False,False,False,False,False,False,False,False,False,True,,,,,True,False,Liquor Store
49982,ASPEN RANCH WINERY                      ,76816800,NE 01-35-05-W5M                         ,CLEARWATER COUNTY                                 ,AB,T2E 3Z4   ,,,(403) 722-4041  ,,,Distillery/Brewery,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Distillery/Brewery
49986,ECONO LIQUOR NO. 2                      ,76820600,113-235 MILLIGAN DRIVE                  ,OKOTOKS                                           ,AB,T1S 0B8   ,,,(403) 995-0650  ,,,Liquor Store,gisbajwa@hotmail.com                    ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Liquor Store
49987,ALL JACKED UP BAR & GRILL               ,76820800,2020 17 AVENUE                          ,DIDSBURY                                          ,AB,T0M 0W0   ,,,(403) 335-3555  ,,,Restaurant,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Restaurant
49988,EC WINES & SPIRITS                      ,76821700,9921 170 STREET NW                      ,EDMONTON                                          ,AB,T5P 4S2   ,53.537984,-113.614073,(780) 487-8704  ,,,Liquor Store,Sahota.harpal@yahoo.ca                  ,,,,,,,12:30PM,,12:39PM,,,,12:30PM,2:00AM,,,,,"Debit, MasterCard, Visa",False,False,False,False,False,False,False,False,False,,,,,,False,False,Liquor Store
49990,SEAMAN STADIUM                          ,76823700,256 DON SEAMAN WAY                      ,OKOTOKS                                           ,AB,T1S 1A5   ,,,(403) 995-7006  ,,,Community Centre,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Community Centre
49992,IMPERIAL LIQUOR                         ,76824900,105 ATHABASCA AVENUE                    ,HINTON                                            ,AB,T7V 2A4   ,53.424808,-117.542516,(780) 865-3633  ,,,Liquor Store,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,False,False,Liquor Store
49993,BEER LOCKER                             ,76826600,4717 20 AVENUE                          ,DRAYTON VALLEY                                    ,AB,T0E 0M0   ,53.193227,-114.976392,(780) 542-7527  ,,,Liquor Store,ctpatten@hotmail.com                    ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Liquor Store
49994,BARR ESTATE WINERY                      ,76827800,51526 RANGE ROAD 231                    ,SHERWOOD PARK                                     ,AB,T8B 1K9   ,,,(780) 819-9463  ,,,Distillery/Brewery,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Distillery/Brewery
49995,SOMETHING BREWING COMPANY               ,76828300,5-6-7-8 6610 71 STREET                  ,RED DEER                                          ,AB,T4P 3Y7   ,,,(403) 346-1146  ,,,Distillery/Brewery,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Distillery/Brewery
49996,DEEP'S LIQUOR STORE                     ,76829800,3-3250 60 STREET NE                     ,CALGARY                                           ,AB,T1Y 3T5   ,,,(403) 293-8484  ,,,Liquor Store,deepsliquor@hotmail.com                 ,10:00AM,11:00pm,10:00AM,11:00pm,10:00AM,11:00pm,10:00AM,11:00pm,10:00AM,12:00am,10:00AM,12:00am,11:00AM,11:00PM,,,,,"AMEX, Debit, MasterCard, Visa",False,False,False,False,False,False,False,False,False,False,,,,,False,False,Liquor Store
49997,CRYSTAL RIDGE LIQUOR STORE              ,76830300,7-55 WHEATLAND TRAIL                    ,STRATHMORE                                        ,AB,T1P 1R7   ,51.05908,-113.399022,(403) 901-1600  ,,,Liquor Store,crystalridge@crowfootliquor.com         ,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,10:00pm,10:00am,9:00pm,,,,,"AMEX, Debit, MasterCard, Visa, cash",False,True,False,False,True,False,False,True,False,False,,,,,True,False,Liquor Store
49998,GRANDE CACHE LIQUOR                     ,76831500,10002 HOPPE AVENUE                      ,GRANDE CACHE                                      ,AB,T0E 0Y0   ,53.887064,-119.119575,(780) 827-3668  ,,,Liquor Store,grandecacheliquor@outlook.com           ,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,12:00am,10:00am,12:00am,11:00am,10:00pm,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,False,False,Liquor Store
50000,VULCAN LIQUOR STORE                     ,76834700,124 1 STREET S                          ,VULCAN                                            ,AB,T0L 2B0   ,50.403528,-113.260906,(403) 485-2366  ,,,Liquor Store,dfoyle@telus.net                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Liquor Store
50001,LIQUOR ON 96                            ,76836500,10164 96 STREET NW                      ,EDMONTON                                          ,AB,T5H 3V2   ,53.544398,-113.482898,(780) 702-0410  ,,,Liquor Store,Liquoron96@gmail.com                    ,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,12:00am,10:00am,12:00am,10:00am,10:00pm,,,,,,True,True,True,False,True,False,False,False,False,False,,,,,False,False,Liquor Store
50003,LOCAL 522                               ,76837400,522 6 AVENUE SW                         ,CALGARY                                           ,AB,T2P 0S1   ,,,(403) 244-6773  ,,,Restaurant,dgiacomini@local522.ca                  ,11:00am,8:00pm,11:00am,8:00pm,11:00am,8:00pm,11:00am,9:00pm,11:00am,9:00pm,Closed,Closed,Closed,Closed,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,False,False,Restaurant
50004,TORRINGTON HOTEL                        ,76837500,102 1 AVENUE                            ,TORRINGTON                                        ,AB,T0M 2B0   ,,,(403) 631-3886  ,,,Hotel,Alanzfogs2@hotmail.com                  ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Hotel
